,country,continent,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious,cases/1M_pop,deaths/1M_pop,total_tests,tests/1M_pop,population,Date
179,Burundi,Africa,63,,1 ,,33,29,,5,0.08,284,24,"11,860,020",2020-06-03
180,French Polynesia,Australia/Oceania,60,, ,,60,0,,214,,"4,040","14,388","280,788",2020-06-03
181,Bhutan,Asia,47,, ,,9,38,,61,,"17,898","23,215","770,958",2020-06-03
182,Macao,Asia,45,, ,,45,0,,69,,,,"648,645",2020-06-03
183,Saint Martin,North America,41,,3 ,,33,5,1,"1,062",78,614,"15,901","38,613",2020-06-03
184,Botswana,Africa,40,,1 ,,23,16,,17,0.4,"23,337","9,940","2,347,757",2020-06-03
185,Eritrea,Africa,39,, ,,39,0,,11,,,,"3,542,590",2020-06-03
186,Antigua and Barbuda,North America,26,,3 ,,20,3,1,266,31,246,"2,514","97,868",2020-06-03
187,Gambia,Africa,26,+1,1 ,,20,5,,11,0.4,"1,873",777,"2,410,835",2020-06-03
188,St. Vincent Grenadines,North America,26,, ,,15,11,,234,,595,"5,365","110,914",2020-06-03
189,Namibia,Africa,25,, ,,16,9,,10,,"4,005","1,579","2,537,207",2020-06-03
190,Timor-Leste,Asia,24,, ,,24,0,,18,,"1,568","1,191","1,316,414",2020-06-03
191,Grenada,North America,23,, ,,18,5,2,204,,"3,516","31,258","112,485",2020-06-03
192,Curaçao,North America,21,+1,1 ,,15,5,,128,6,572,"3,487","164,044",2020-06-03
193,New Caledonia,Australia/Oceania,20,, ,,18,2,,70,,"6,867","24,070","285,290",2020-06-03
194,Laos,Asia,19,, ,,18,1,,3,,"7,491","1,031","7,267,282",2020-06-03
195,Belize,North America,18,,2 ,,16,0,,45,5,"1,671","4,209","397,048",2020-06-03
196,Dominica,North America,18,, ,,16,2,,250,,534,"7,419","71,973",2020-06-03
197,Fiji,Australia/Oceania,18,, ,,15,3,,20,,"2,431","2,713","895,961",2020-06-03
198,Saint Lucia,North America,18,, ,,18,0,,98,,"1,113","6,063","183,566",2020-06-03
199,Saint Kitts and Nevis,North America,15,, ,,15,0,,282,,403,"7,579","53,171",2020-06-03
200,Falkland Islands,South America,13,, ,,13,0,,"3,745",,535,"154,134","3,471",2020-06-03
201,Greenland,North America,13,, ,,11,2,,229,,"2,203","38,810","56,763",2020-06-03
202,Turks and Caicos,North America,12,,1 ,,11,0,,310,26,153,"3,956","38,676",2020-06-03
203,Vatican City,Europe,12,, ,,2,10,,"14,981",,,,801,2020-06-03
204,Montserrat,North America,11,,1 ,,10,0,,"2,204",200,61,"12,220","4,992",2020-06-03
205,Seychelles,Africa,11,, ,,11,0,,112,,,,"98,302",2020-06-03
206,MS Zaandam,Other,9,,2 ,,,7,,,,,, ,2020-06-03
207,Western Sahara,Africa,9,,1 ,,6,2,,15,2,,,"596,106",2020-06-03
208,British Virgin Islands,North America,8,,1 ,,7,0,,265,33,167,"5,527","30,216",2020-06-03
209,Papua New Guinea,Australia/Oceania,8,, ,,8,0,,0.9,,"4,646",520,"8,933,327",2020-06-03
210,Caribbean Netherlands,North America,7,, ,,7,0,,267,,424,"16,180","26,205",2020-06-03
211,St. Barth,North America,6,, ,,6,0,,608,,137,"13,873","9,875",2020-06-03
212,Lesotho,Africa,4,+2, ,,2,2,,2,,"1,515",708,"2,140,977",2020-06-03
213,Anguilla,North America,3,, ,,3,0,,200,,41,"2,735","14,993",2020-06-03
214,Saint Pierre Miquelon,North America,1,, ,,1,0,,173,,,,"5,796",2020-06-03
0,China,Asia,"83,022",+1,"4,634 ",,"78,319",69,3,58,3,,,"1,439,323,776 ",2020-06-04
1,USA,North America,"1,924,051","+22,268","110,173 ","+1,031","712,252","1,101,626","17,083","5,815",333,"19,568,069","59,142","330,864,650",2020-06-04
2,Brazil,South America,"615,870","+31,890","34,039 ","+1,492","274,997","306,834","8,318","2,899",160,"986,365","4,643","212,451,006",2020-06-04
3,Russia,Europe,"441,108","+8,831","5,384 ",+169,"204,623","231,101","2,300","3,023",37,"11,733,051","80,402","145,930,189",2020-06-04
4,Spain,Europe,"287,740",+334,"27,133 ",+5,,,617,"6,154",580,"4,063,843","86,921","46,753,542",2020-06-04
5,UK,Europe,"281,661","+1,805","39,904 ",+176,,,604,"4,151",588,"5,005,565","73,762","67,860,771",2020-06-04
6,Italy,Europe,"234,013",+177,"33,689 ",+88,"161,895","38,429",338,"3,870",557,"4,049,544","66,970","60,467,811",2020-06-04
7,India,Asia,"226,713","+9,889","6,363 ",+275,"108,450","111,900","8,944",164,5,"4,242,718","3,077","1,379,011,457",2020-06-04
8,Germany,Europe,"184,923",+498,"8,736 ",+37,"167,800","8,387",600,"2,208",104,"4,348,880","51,917","83,765,266",2020-06-04
9,Peru,South America,"183,198","+4,284","5,031 ",+137,"76,228","101,939","1,005","5,562",153,"1,135,831","34,485","32,937,238",2020-06-04
10,Turkey,Asia,"167,410",+988,"4,630 ",+21,"131,778","31,002",602,"1,987",55,"2,209,583","26,220","84,272,204",2020-06-04
11,Iran,Asia,"164,270","+3,574","8,071 ",+59,"127,485","28,714","2,569","1,958",96,"1,019,362","12,148","83,912,575",2020-06-04
12,France,Europe,"152,444",+767,"29,065 ",+44,"69,976","53,403","1,163","2,336",445,"1,384,633","21,216","65,263,516",2020-06-04
13,Chile,South America,"118,292","+4,664","1,356 ",+81,"90,748","26,188","1,496","6,192",71,"646,458","33,838","19,104,300",2020-06-04
14,Mexico,North America,"101,238","+3,912","11,729 ","+1,092","73,271","16,238",378,786,91,"303,461","2,355","128,833,133",2020-06-04
15,Canada,North America,"93,726",+641,"7,637 ",+139,"51,739","34,350","1,727","2,485",202,"1,791,106","47,487","37,718,122",2020-06-04
16,Saudi Arabia,Asia,"93,157","+1,975",611 ,+32,"68,965","23,581","1,321","2,679",18,"887,209","25,515","34,772,530",2020-06-04
17,Pakistan,Asia,"85,264","+4,801","1,770 ",+82,"30,128","53,366",111,387,8,"615,511","2,791","220,556,339",2020-06-04
18,Qatar,Asia,"63,741","+1,581",45 ,,"39,468","24,228",239,"22,701",16,"241,086","85,863","2,807,805 ",2020-06-04
19,Belgium,Europe,"58,767",+82,"9,548 ",+26,"16,048","33,171",143,"5,072",824,"900,282","77,704","11,586,077",2020-06-04
20,Bangladesh,Asia,"57,563","+2,423",781 ,+35,"12,161","44,621",1,350,5,"358,277","2,177","164,569,193",2020-06-04
21,Netherlands,Europe,"46,942",+209,"5,990 ",+13,,,113,"2,740",350,"378,912","22,117","17,132,248",2020-06-04
22,Belarus,Europe,"45,981",+865,253 ,+5,"21,162","24,566",92,"4,866",27,"585,065","61,915","9,449,534",2020-06-04
23,Sweden,Europe,"41,883","+1,080","4,562 ",+20,,,284,"4,149",452,"275,500","27,291","10,094,775",2020-06-04
24,Ecuador,South America,"40,966",,"3,486 ",,"20,019","17,461",252,"2,325",198,"119,375","6,774","17,622,682",2020-06-04
25,South Africa,Africa,"40,792","+3,267",848 ,+56,"21,311","18,633",208,688,14,"820,675","13,850","59,252,862",2020-06-04
26,UAE,Asia,"37,018",+659,273 ,+3,"19,572","17,173",1,"3,746",28,"2,145,493","217,122","9,881,514",2020-06-04
27,Singapore,Asia,"36,922",+517,24 ,,"23,904","12,994",5,"6,315",4,"408,495","69,864","5,847,022",2020-06-04
28,Colombia,South America,"35,120","+1,766","1,087 ",+42,"12,921","21,112",335,691,21,"374,592","7,368","50,842,963",2020-06-04
29,Portugal,Europe,"33,592",+331,"1,455 ",+8,"20,323","11,814",58,"3,294",143,"847,181","83,068","10,198,688",2020-06-04
30,Switzerland,Europe,"30,913",+20,"1,921 ",,"28,600",392,27,"3,574",222,"409,450","47,335","8,650,074",2020-06-04
31,Kuwait,Asia,"29,921",+562,236 ,+6,"17,223","12,462",184,"7,014",55,"306,006","71,735","4,265,782",2020-06-04
32,Egypt,Africa,"29,767","+1,152","1,126 ",+38,"7,756","20,885",41,291,11,"135,000","1,321","102,183,789",2020-06-04
33,Indonesia,Asia,"28,818",+585,"1,721 ",+23,"8,892","18,205",,105,6,"367,640","1,345","273,310,806",2020-06-04
34,Ukraine,Europe,"25,411",+588,747 ,+12,"11,042","13,622",297,581,17,"392,316","8,967","43,750,846",2020-06-04
35,Ireland,Europe,"25,142",+31,"1,664 ",+5,"22,698",780,36,"5,096",337,"348,416","70,619","4,933,710",2020-06-04
36,Poland,Europe,"25,048",+361,"1,117 ",+2,"12,227","11,704",160,662,30,"996,604","26,331","37,849,409",2020-06-04
37,Philippines,Asia,"20,382",+634,984 ,+10,"4,248","15,150",82,186,9,"389,190","3,555","109,471,641",2020-06-04
38,Argentina,South America,"20,197",+929,608 ,+25,"5,993","13,596",274,447,13,"178,448","3,951","45,165,566",2020-06-04
39,Romania,Europe,"19,907",+238,"1,305 ",+9,"13,919","4,683",153,"1,034",68,"472,850","24,569","19,245,993",2020-06-04
40,Dominican Republic,North America,"18,319",+279,520 ,+4,"11,474","6,325",110,"1,690",48,"86,285","7,960","10,839,938",2020-06-04
41,Afghanistan,Asia,"18,054",+787,300 ,+6,"1,585","16,169",19,465,8,"43,569","1,121","38,858,170",2020-06-04
42,Israel,Asia,"17,495",+118,291 ,,"15,013","2,191",27,"1,902",32,"606,596","65,952","9,197,590 ",2020-06-04
43,Japan,Asia,"17,018",+32,903 ,+3,"14,867","1,248",102,135,7,"303,633","2,400","126,502,211",2020-06-04
44,Austria,Europe,"16,805",+34,670 ,,"15,717",418,22,"1,867",74,"471,466","52,369","9,002,749",2020-06-04
45,Panama,North America,"15,044",+435,363 ,+6,"9,619","5,062",75,"3,491",84,"72,697","16,869","4,309,582",2020-06-04
46,Oman,Asia,"14,316",+778,67 ,,"3,451","10,798",58,"2,809",13,"100,181","19,659","5,096,020",2020-06-04
47,Bahrain,Asia,"13,296",+481,21 ,+1,"7,728","5,547",9,"7,838",12,"345,337","203,567","1,696,430",2020-06-04
48,Kazakhstan,Asia,"12,067",+271,52 ,+4,"6,606","5,409",62,643,3,"867,286","46,231","18,760,016",2020-06-04
49,Denmark,Europe,"11,811",+40,582 ,+2,"10,620",609,17,"2,040",101,"671,558","115,970","5,790,777",2020-06-04
50,Bolivia,South America,"11,638",+647,400 ,+24,"1,507","9,731",3,998,34,"28,239","2,422","11,661,045",2020-06-04
51,S. Korea,Asia,"11,629",+39,273 ,,"10,499",857,15,227,5,"973,858","18,996","51,266,162",2020-06-04
52,Serbia,Europe,"11,571",+48,246 ,+1,"6,910","4,415",15,"1,324",28,"261,266","29,894","8,739,694",2020-06-04
53,Nigeria,Africa,"11,516",+350,323 ,+8,"3,535","7,658",7,56,2,"71,336",347,"205,724,190",2020-06-04
54,Armenia,Asia,"11,221",+697,176 ,+6,"3,468","7,577",10,"3,787",59,"63,459","21,418","2,962,861",2020-06-04
55,Algeria,Africa,"9,831",+98,681 ,+8,"6,297","2,853",32,225,16,,,"43,789,601",2020-06-04
56,Czechia,Europe,"9,494",+56,326 ,+2,"6,809","2,359",12,887,30,"459,448","42,909","10,707,610",2020-06-04
57,Moldova,Europe,"9,018",+223,315 ,+5,"5,009","3,694",265,"2,235",78,"57,003","14,129","4,034,590",2020-06-04
58,Ghana,Africa,"8,885",+337,38 ,,"3,189","5,658",3,286,1,"223,065","7,191","31,021,611",2020-06-04
59,Iraq,Asia,"8,840",+672,271 ,+15,"4,338","4,231",50,220,7,"272,259","6,781","40,150,285",2020-06-04
60,Norway,Europe,"8,504",+27,238 ,+1,"8,138",128,6,"1,570",44,"252,232","46,553","5,418,184",2020-06-04
61,Malaysia,Asia,"8,247",+277,115 ,,"6,559","1,573",6,255,4,"560,738","17,342","32,334,994",2020-06-04
62,Morocco,Africa,"8,003",+81,208 ,+2,"7,195",600,15,217,6,"261,010","7,078","36,878,073",2020-06-04
63,Australia,Australia/Oceania,"7,240",+11,102 ,,"6,648",490,4,284,4,"1,533,852","60,203","25,477,953",2020-06-04
64,Finland,Europe,"6,911",,322 ,+1,"5,800",789,7,"1,247",58,"195,400","35,270","5,540,127",2020-06-04
65,Cameroon,Africa,"6,789",+204,203 ,+3,"3,705","2,881",28,256,8,,,"26,492,099",2020-06-04
66,Azerbaijan,Asia,"6,522",+262,78 ,+2,"3,737","2,707",42,644,8,"322,574","31,835","10,132,528",2020-06-04
67,Guatemala,North America,"5,760",+174,143 ,+20,929,"4,688",5,322,8,"31,427","1,757","17,889,773",2020-06-04
68,Sudan,Africa,"5,714",+215,333 ,+19,"1,825","3,556",,131,8,401,9,"43,766,839",2020-06-04
69,Honduras,North America,"5,690",+163,234 ,+9,617,"4,839",13,575,24,"14,790","1,495","9,892,567",2020-06-04
70,Tajikistan,Asia,"4,289",+98,48 ,,"2,401","1,840",,451,5,,,"9,520,505",2020-06-04
71,Djibouti,Africa,"4,054",+119,26 ,,"1,685","2,343",,"4,108",26,"33,492","33,936","986,912",2020-06-04
72,Luxembourg,Europe,"4,027",+3,110 ,,"3,874",43,3,"6,441",176,"82,377","131,761","625,198",2020-06-04
73,Senegal,Africa,"4,021",+89,45 ,,"2,162","1,814",16,241,3,"49,090","2,938","16,707,665",2020-06-04
74,Guinea,Africa,"3,991",+58,23 ,,"2,512","1,456",24,305,2,"14,407","1,099","13,103,365",2020-06-04
75,Hungary,Europe,"3,954",+23,539 ,+5,"2,205","1,210",24,409,56,"195,894","20,275","9,661,989",2020-06-04
76,Uzbekistan,Asia,"3,939",+96,16 ,,"3,087",836,11,118,0.5,"460,000","13,759","33,432,499",2020-06-04
77,DRC,Africa,"3,644",+149,78 ,+3,495,"3,071",,41,0.9,,,"89,331,385",2020-06-04
78,Ivory Coast,Africa,"3,262",+152,35 ,,"1,584","1,643",,124,1,"29,228","1,110","26,325,174",2020-06-04
79,Thailand,Asia,"3,101",+17,58 ,,"2,968",75,1,44,0.8,"420,529","6,026","69,787,831",2020-06-04
80,Gabon,Africa,"2,955",+53,21 ,+1,818,"2,116",15,"1,330",9,"15,689","7,062","2,221,499",2020-06-04
81,Greece,Europe,"2,952",+15,180 ,+1,"1,374","1,398",9,283,17,"193,929","18,600","10,426,393",2020-06-04
82,El Salvador,North America,"2,781",+76,51 ,+2,"1,208","1,522",59,429,8,"99,178","15,296","6,483,892",2020-06-04
83,Haiti,North America,"2,640",+133,50 ,+2,24,"2,566",,232,4,"5,717",502,"11,392,181",2020-06-04
84,Nepal,Asia,"2,634",+334,10 ,+1,290,"2,334",,91,0.3,"209,698","7,207","29,096,164",2020-06-04
85,North Macedonia,Europe,"2,611",+119,147 ,+2,"1,621",843,34,"1,253",71,"33,114","15,894","2,083,380",2020-06-04
86,Bosnia and Herzegovina,Europe,"2,594",+43,159 ,+2,"1,951",484,4,790,48,"68,706","20,933","3,282,144",2020-06-04
87,Bulgaria,Europe,"2,593",+33,159 ,+13,"1,322","1,112",8,373,23,"193,732","27,868","6,951,806",2020-06-04
88,Kenya,Africa,"2,340",+124,78 ,+4,592,"1,670",7,44,1,"85,058","1,585","53,676,811",2020-06-04
89,Croatia,Europe,"2,247",+1,103  ,,"2,105",39,3,547,25,"67,997","16,557","4,106,911",2020-06-04
90,Somalia,Africa,"2,204",+58,79 ,,418,"1,707",2,139,5,,,"15,856,395",2020-06-04
91,Cuba,North America,"2,119",+12,83 ,,"1,839",197,4,187,7,"112,449","9,927","11,327,084",2020-06-04
92,Venezuela,South America,"2,087",+135,20 ,,334,"1,733",,73,0.7,"995,522","35,003","28,441,308",2020-06-04
93,Mayotte,Africa,"2,058",+65,25 ,+1,"1,523",510,9,"7,558",92,"7,600","27,912","272,282",2020-06-04
94,Kyrgyzstan,Asia,"1,899",+28,20 ,,"1,292",587,5,291,3,"119,124","18,282","6,515,934",2020-06-04
95,Estonia,Europe,"1,890",+10,69 ,,"1,663",158,,"1,425",52,"87,456","65,931","1,326,474",2020-06-04
96,Maldives,Asia,"1,872",+22,7 ,,648,"1,217",9,"3,468",13,"11,775","21,813","539,808",2020-06-04
97,Iceland,Europe,"1,806",,10 ,,"1,794",2,,"5,295",29,"61,680","180,835","341,085",2020-06-04
98,Sri Lanka,Asia,"1,797",+62,11 ,,839,947,1,84,0.5,"70,290","3,284","21,406,944",2020-06-04
99,Lithuania,Europe,"1,687",+3,71 ,,"1,273",343,17,619,26,"321,040","117,830","2,724,610",2020-06-04
100,Ethiopia,Africa,"1,636",+150,18 ,+1,250,"1,368",16,14,0.2,"125,570","1,094","114,732,085",2020-06-04
101,Slovakia,Europe,"1,526",+1,28 ,,"1,376",122,,280,5,"183,764","33,660","5,459,461",2020-06-04
102,New Zealand,Australia/Oceania,"1,504",,22 ,,"1,481",1,,301,4,"286,174","57,211","5,002,100 ",2020-06-04
103,Slovenia,Europe,"1,477",,109 ,,"1,359",9,,710,52,"82,701","39,781","2,078,919",2020-06-04
104,Mali,Africa,"1,461",+75,85 ,+6,806,570,,72,4,"3,483",172,"20,202,090",2020-06-04
105,Guinea-Bissau,Africa,"1,339",,8 ,,53,"1,278",,682,4,"1,500",764,"1,964,249",2020-06-04
106,Lebanon,Asia,"1,306",+50,28 ,+1,731,547,4,191,4,"90,509","13,257","6,827,456",2020-06-04
107,Equatorial Guinea,Africa,"1,306",,12 ,,200,"1,094",,934,9,"8,268","5,910","1,399,026",2020-06-04
108,CAR,Africa,"1,288",+115,4 ,,23,"1,261",,267,0.8,"15,881","3,293","4,823,282",2020-06-04
109,Albania,Europe,"1,197",+13,33 ,,898,266,5,416,11,"15,647","5,437","2,878,009",2020-06-04
110,Costa Rica,North America,"1,194",+37,10 ,,687,497,5,235,2,"27,318","5,366","5,090,731",2020-06-04
111,Nicaragua,North America,"1,118",,46 ,,370,702,,169,7,,,"6,618,700",2020-06-04
112,Hong Kong,Asia,"1,099",+5,4 ,,"1,041",54,2,147,0.5,"202,930","27,084","7,492,585",2020-06-04
113,Zambia,Africa,"1,089",,7 ,,912,170,1,59,0.4,"28,236","1,539","18,341,163",2020-06-04
114,Tunisia,Africa,"1,087",,49 ,,968,70,1,92,4,"53,539","4,534","11,809,527",2020-06-04
115,Paraguay,South America,"1,086",+16,11 ,,511,564,2,152,2,"34,240","4,805","7,126,012",2020-06-04
116,Latvia,Europe,"1,082",+3,25 ,+1,760,297,2,573,13,"114,451","60,636","1,887,502",2020-06-04
117,South Sudan,Africa,994,,10 ,,6,978,,89,0.9,"3,356",300,"11,183,989",2020-06-04
118,Niger,Africa,963,+2,65 ,,860,38,,40,3,"6,099",253,"24,129,683",2020-06-04
119,Cyprus,Asia,958,,17 ,,790,151,4,794,14,"123,316","102,190","1,206,728",2020-06-04
120,Madagascar,Africa,957,+49,7 ,+1,200,750,9,35,0.3,"12,608",456,"27,632,772",2020-06-04
121,Sierra Leone,Africa,914,+5,47 ,,491,376,,115,6,,,"7,964,194",2020-06-04
122,Burkina Faso,Africa,885,+1,53 ,,760,72,,42,3,,,"20,855,822",2020-06-04
123,Andorra,Europe,852,+1,51 ,,738,63,7,"11,028",660,"3,750","48,540","77,256",2020-06-04
124,Uruguay,South America,832,+4,23 ,,709,100,4,240,7,"46,512","13,393","3,472,889",2020-06-04
125,Chad,Africa,828,+8,66 ,,633,129,,51,4,,,"16,386,505",2020-06-04
126,Georgia,Asia,801,+1,13 ,,644,144,6,201,3,"61,395","15,388","3,989,681",2020-06-04
127,Mauritania,Africa,784,+39,39 ,+5,65,680,,169,8,"7,654","1,650","4,639,619",2020-06-04
128,Jordan,Asia,765,+8,9 ,,566,190,5,75,0.9,"210,401","20,636","10,195,716",2020-06-04
129,Diamond Princess,Other,712,,13 ,,651,48,4,,,,, ,2020-06-04
130,San Marino,Europe,678,+4,42 ,,408,228,1,"19,985","1,238","4,749","139,981","33,926",2020-06-04
131,Malta,Europe,622,,9 ,,576,37,,"1,409",20,"72,615","164,488","441,461",2020-06-04
132,Congo,Africa,611,,20 ,,179,412,,111,4,,,"5,507,057",2020-06-04
133,Jamaica,North America,591,+1,10 ,+1,368,213,1,200,3,"13,813","4,666","2,960,258",2020-06-04
134,Channel Islands,Europe,561,,46 ,,512,3,,"3,229",265,"10,255","59,023","173,746",2020-06-04
135,French Guiana,South America,556,+23,1 ,,296,259,3,"1,865",3,,,"298,048",2020-06-04
136,Uganda,Africa,522,+15, ,,82,440,,11,,"96,825","2,123","45,618,000",2020-06-04
137,Tanzania,Africa,509,,21 ,,183,305,7,9,0.4,,,"59,592,344",2020-06-04
138,Cabo Verde,Africa,502,+25,5 ,,239,258,,904,9,"1,307","2,353","555,542",2020-06-04
139,Sao Tome and Principe,Africa,485,+1,12 ,,68,405,,"2,216",55,175,800,"218,842",2020-06-04
140,Réunion,Africa,479,+1,1 ,,411,67,1,535,1,"17,200","19,221","894,853",2020-06-04
141,Togo,Africa,465,+13,13 ,,239,213,,56,2,"21,812","2,640","8,263,094",2020-06-04
142,Palestine,Asia,464,+7,3 ,,377,84,,91,0.6,"44,876","8,813","5,091,874",2020-06-04
143,Yemen,Asia,453,+34,103 ,+8,17,333,,15,3,120,4,"29,773,563",2020-06-04
144,Taiwan,Asia,443,,7 ,,428,8,,19,0.3,"72,683","3,052","23,813,801",2020-06-04
145,Rwanda,Africa,410,+13,2 ,,280,128,,32,0.2,"72,510","5,610","12,926,113",2020-06-04
146,Malawi,Africa,393,+24,4 ,,51,338,1,21,0.2,"5,049",264,"19,089,469",2020-06-04
147,Mozambique,Africa,352,+36,2 ,,114,236,,11,0.06,"12,096",388,"31,182,649",2020-06-04
148,Isle of Man,Europe,336,,24 ,,312,0,,"3,953",282,"5,094","59,929","85,001",2020-06-04
149,Mauritius,Africa,335,,10 ,,322,3,,263,8,"124,227","97,692","1,271,623",2020-06-04
150,Vietnam,Asia,328,, ,,302,26,1,3,,"275,000","2,827","97,274,870",2020-06-04
151,Montenegro,Europe,324,,9 ,,315,0,,516,14,"10,167","16,188","628,061",2020-06-04
152,Liberia,Africa,321,+5,28 ,,175,118,,64,6,,,"5,048,101",2020-06-04
153,Eswatini,Africa,300,+5,3 ,,201,96,5,259,3,"6,551","5,651","1,159,282",2020-06-04
154,Benin,Africa,261,+17,3 ,,151,107,,22,0.2,"35,794","2,959","12,097,132",2020-06-04
155,Zimbabwe,Africa,237,+15,4 ,,31,202,,16,0.3,"50,920","3,430","14,846,545",2020-06-04
156,Myanmar,Asia,236,+3,6 ,,148,82,,4,0.1,"31,701",583,"54,383,706",2020-06-04
157,Libya,Africa,209,+13,5 ,,52,152,,30,0.7,"8,193","1,194","6,864,267",2020-06-04
158,Martinique,North America,200,,14 ,,98,88,,533,37,,,"375,285",2020-06-04
159,Faeroe Islands,Europe,187,, ,,187,0,,"3,828",,"10,003","204,770","48,850",2020-06-04
160,Mongolia,Asia,186,+1, ,,65,121,19,57,,"15,092","4,609","3,274,249",2020-06-04
161,Gibraltar,Europe,173,, ,,153,20,,"5,135",,"8,434","250,326","33,692",2020-06-04
162,Guadeloupe,North America,162,,14 ,,138,10,1,405,35,"4,137","10,339","400,119",2020-06-04
163,Cayman Islands,North America,160,+4,1 ,,85,74,,"2,437",15,"13,253","201,827","65,665",2020-06-04
164,Guyana,South America,153,,12 ,,77,64,3,195,15,"1,719","2,186","786,284",2020-06-04
165,Bermuda,North America,141,,9 ,,113,19,2,"2,263",144,"7,679","123,272","62,293",2020-06-04
166,Brunei ,Asia,141,,2 ,,138,1,1,323,5,"20,205","46,217","437,173",2020-06-04
167,Comoros,Africa,132,,2 ,,55,75,,152,2,,,"868,131",2020-06-04
168,Cambodia,Asia,125,, ,,123,2,1,7,,"21,843","1,308","16,701,538",2020-06-04
169,Syria,Asia,124,+1,6 ,,53,65,,7,0.3,,,"17,466,210",2020-06-04
170,Trinidad and Tobago,North America,117,,8 ,,108,1,,84,6,"3,262","2,331","1,399,172",2020-06-04
171,Bahamas,North America,102,,11 ,,55,36,2,260,28,"2,134","5,430","392,970",2020-06-04
172,Aruba,North America,101,,3 ,,98,0,,946,28,"2,138","20,031","106,734",2020-06-04
173,Monaco,Europe,99,,4 ,,92,3,1,"2,524",102,"16,200","413,034","39,222",2020-06-04
174,Barbados,North America,92,,7 ,,81,4,1,320,24,"5,747","20,000","287,351",2020-06-04
175,Angola,Africa,86,,4 ,,18,64,1,3,0.1,"10,000",305,"32,779,493",2020-06-04
176,Liechtenstein,Europe,82,,1 ,,55,26,,"2,151",26,900,"23,610","38,120",2020-06-04
177,Suriname,South America,82,+8,1 ,,9,72,,140,2,782,"1,334","586,250",2020-06-04
178,Sint Maarten,North America,77,,15 ,,60,2,1,"1,797",350,450,"10,504","42,840",2020-06-04
179,Burundi,Africa,63,,1 ,,33,29,,5,0.08,284,24,"11,860,992",2020-06-04
180,French Polynesia,Australia/Oceania,60,, ,,60,0,,214,,"4,040","14,388","280,793",2020-06-04
181,Bhutan,Asia,47,, ,,9,38,,61,,"18,238","23,656","770,981",2020-06-04
182,Macao,Asia,45,, ,,45,0,,69,,,,"648,669",2020-06-04
183,Saint Martin,North America,41,,3 ,,33,5,1,"1,062",78,614,"15,901","38,615",2020-06-04
184,Botswana,Africa,40,,1 ,,23,16,,17,0.4,"24,006","10,225","2,347,887",2020-06-04
185,Eritrea,Africa,39,, ,,39,0,,11,,,,"3,542,724",2020-06-04
186,Antigua and Barbuda,North America,26,,3 ,,20,3,1,266,31,246,"2,514","97,870",2020-06-04
187,Gambia,Africa,26,,1 ,,20,5,,11,0.4,"1,873",777,"2,411,022",2020-06-04
188,St. Vincent Grenadines,North America,26,, ,,15,11,,234,,595,"5,364","110,915",2020-06-04
189,Namibia,Africa,25,, ,,16,9,,10,,"4,005","1,578","2,537,333",2020-06-04
190,Timor-Leste,Asia,24,, ,,24,0,,18,,"1,568","1,191","1,316,483",2020-06-04
191,Grenada,North America,23,, ,,18,5,2,204,,"3,516","31,257","112,486",2020-06-04
192,Curaçao,North America,21,,1 ,,15,5,,128,6,985,"6,004","164,046",2020-06-04
193,New Caledonia,Australia/Oceania,20,, ,,18,2,,70,,"6,867","24,070","285,297",2020-06-04
194,Laos,Asia,19,, ,,18,1,,3,,"7,563","1,041","7,267,570",2020-06-04
195,Saint Lucia,North America,19,+1, ,,18,1,,104,,"1,204","6,559","183,568",2020-06-04
196,Belize,North America,18,,2 ,,16,0,,45,5,"1,671","4,208","397,068",2020-06-04
197,Dominica,North America,18,, ,,16,2,,250,,534,"7,419","71,974",2020-06-04
198,Fiji,Australia/Oceania,18,, ,,18,0,,20,,"2,431","2,713","895,978",2020-06-04
199,Saint Kitts and Nevis,North America,15,, ,,15,0,,282,,403,"7,579","53,172",2020-06-04
200,Falkland Islands,South America,13,, ,,13,0,,"3,744",,535,"154,090","3,472",2020-06-04
201,Greenland,North America,13,, ,,13,0,,229,,"2,241","39,480","56,763",2020-06-04
202,Turks and Caicos,North America,12,,1 ,,11,0,,310,26,153,"3,956","38,678",2020-06-04
203,Vatican City,Europe,12,, ,,2,10,,"14,981",,,,801,2020-06-04
204,Montserrat,North America,11,,1 ,,10,0,,"2,204",200,61,"12,220","4,992",2020-06-04
205,Seychelles,Africa,11,, ,,11,0,,112,,,,"98,304",2020-06-04
206,MS Zaandam,Other,9,,2 ,,,7,,,,,, ,2020-06-04
207,Western Sahara,Africa,9,,1 ,,6,2,,15,2,,,"596,147",2020-06-04
208,British Virgin Islands,North America,8,,1 ,,7,0,,265,33,167,"5,527","30,217",2020-06-04
209,Papua New Guinea,Australia/Oceania,8,, ,,8,0,,0.9,,"4,646",520,"8,933,791",2020-06-04
210,Caribbean Netherlands,North America,7,, ,,7,0,,267,,424,"16,180","26,205",2020-06-04
211,St. Barth,North America,6,, ,,6,0,,608,,137,"13,873","9,875",2020-06-04
212,Lesotho,Africa,4,, ,,2,2,,2,,"1,515",708,"2,141,023",2020-06-04
213,Anguilla,North America,3,, ,,3,0,,200,,41,"2,735","14,993",2020-06-04
